2020/03/27 |,Afghanistan,Italian President Mattarella: “Italy will declare a life-long quarantine”
2020/04/15 |,Afghanistan,Image of Muslim people offering prayer on the rooftops is claimed to be from India.
2020/06/15 |,Africa,Viral posts circulating in Africa claim Nobel Peace Prize winner Denis Mukwege resigned from the leadership of two COVID-19 task forces in DR Congo because he was told to manipulate patient numbers.
2020/06/10 |,Africa,Facebook posts circulating in Africa claim France has announced a ban on Africans travelling to Europe if they refuse “the European vaccine” for COVID-19.
2020/04/30 |,Africa," President of Russia, Vladimir Putin, has ordered COVID-Organics and asked Africans not to follow the World Health Organization (WHO)."
2020/04/14 |,Africa,A photograph shared thousands of times on Facebook purports to show the blister-covered hand of a patient suffering from a new disease.
2020/03/31 |,Africa,COVID-19 cannot spread in warm countries.
2020/03/03 |,Africa,Claims that drinking boiled garlic water cures novel coronavirus.
2020/04/29 |,Africa,Chinese President Xi Jinping urging Africans to reject a coronavirus vaccine that has killed all the animals it has been tested.
2020/04/22 |,Africa,Bill Gates is creating a vaccine against the COVID-19 which would geolocate the population.
2021/01/08 |,Africa,British journal says Sinovac vaccine can enlarge male genitals by up to 3 inches
2020/03/17 |,Albania,Harvard scientists explain: Here’s how you can cure the coronavirus yourself before the vaccine comes out and a WhatsApp message states: “The Ministry of Health has approved an immediate 350 euro reward for those staying home.” The first child that lost his life because of coronavirus.
2020/08/13 |,Algeria," Members of the Algerian medical delegation sent to Lebanon have been quarantined, after discovering that one of its members was infected with COVID-19."
2020/07/23 |,Algeria," A group photo of researchers working on the new coronavirus vaccine from some countries, including Algeria."
2020/07/14 |,Algeria,A picture of the largest medical project for the detection of COVID-19 in the state of Setif in Algeria.
2020/07/14 |,Algeria," The director of Mohamed Boudiaf Hospital in Bouira, Algeria, is trying to commit suicide by throwing himself from the third floor, due to pressure from the family of a woman who died of COVID-19."
2020/07/01 |,Algeria,Marriage contracts have been frozen in Algerian municipalities due to the spread of Covid-19.
2020/05/16 |,Algeria," This picture show the young, pregnant doctor who died from COVID-19 in Algeria."
2020/04/16 |,Algeria," Cheb Khaled, the king of Algerian Rai, dies in a Paris hospital after he got infected with Covid-19."
2020/04/07 |,Algeria,Inhaling a mixture of peppermint oil and clove oil cure COVID-19
2020/04/04 |,Algeria," Al-Azhar Imam said he is considering exceptions on Ramadan fasting, as the research says that the mouth must be kept wet to prevent COVID-19"
2020/03/30 |,Algeria," France needs tests for its population; however, Paris sent tests to Algeria."
2020/03/19 |,Algeria,Videos showing police raids or army raids against people who don’t respect confinement measures in Algeria or Morocco.
2020/03/17 |,Algeria,A photo showing coffins and describing them as coffins of people who died because of the coronavirus.
2020/03/07 |,Algeria,Photos purport to show the collapse of a temporary hospital in Wuhan.
2020/01/31 |,Algeria,A photo shows a new hospital in Wuhan.
2020/08/10 |,Algeria,The Algerian medical team sent to Lebanon was found infected with COVID-19 and put under quarantine
2021/03/05 |,Argentina,A woman convulses in an Argentine hospital after Covid-19 vaccination
2021/05/23 |,Argentina," No, this video does not show Indian villagers stoning vaccination teams"
2021/05/23 |,Argentina," No, this video does not show Indian villagers stoning vaccination teams"
2021/05/10 |,Argentina," Gollan: “Pfizer sold 10 million to Chile, but delivered 30 thousand vaccines until today”."
2021/05/03 |,Argentina,A note that claims that nanorobots were discovered within the PCR tests
2021/05/03 |,Argentina,The use of masks produces hypoxia and pleurisy
2021/04/30 |,Argentina,False claims of a Uruguayan doctor about chinstraps and vaccines (II)
2021/04/30 |,Argentina,False statements by a Uruguayan doctor about PCR tests and asymptomatic patients (I)
2021/04/30 |,Argentina,False statements by a Uruguayan doctor about PCR tests and asymptomatic patients (I)
2021/04/29 |,Argentina,Viral chain indicates that German doctors found the cure against the coronavirus
2021/04/29 |,Argentina,Viral chain indicates that German doctors found the cure against the coronavirus
2021/04/26 |,Argentina," A video by Chinda Brandolino spreading false information about COVID-19 death diagnoses, testing, and vaccine safety."
2021/04/25 |,Argentina," It is false that 864 thousand vaccines arrived in the country, donated by Denmark, through an agreement between Máxima and Macri with the ONU"
2021/04/25 |,Argentina,There is an alleged letter from the director of the Argerich hospital to Alberto Fernandez after his remarks about the “relaxation” of the health system.
2021/04/14 |,Argentina," An image that shows the current Minister of Health of Argentina, Carla Vizzotti, with a plinth that shows that she supposedly said that “you have to avoid breathing”"
2021/04/13 |,Argentina,A video of an interview where Bill Gates allegedly talks about the adverse effects of vaccination
2021/04/12 |,Argentina,Publications that indicate that “Moderna’s medical director admits that the experimental mRNA vaccine modifies DNA”
2021/04/12 |,Argentina,Publications that ensure that coffee prevents contagion and cures patients with coronavirus
2021/03/23 |,Argentina,The chinstrap is no longer mandatory in Argentina
2021/03/21 |,Argentina,The claims of a new video of “Doctors for the Truth”
2021/03/09 |,Argentina," Waldo Wolff, on the coronavirus: “Argentina is among the 10 countries with the most deaths per million inhabitants in the world”"
2021/03/04 |,Argentina,A clip of a woman convulsing on the ground has spread across social media worldwide in multiple languages alongside a claim that she is suffering from side effects after receiving a Covid-19 vaccine.
2021/02/28 |,Argentina," The Argentine Vice President, Cristina Fernández de Kirchner, was “multi-vaccinated” against the coronavirus, as shown in these three images"
2021/02/25 |,Argentina,UNSAM’s coronavirus vaccine investigation is about to start phase III
2021/02/25 |,Argentina,UNSAM’s coronavirus vaccine investigation is about to start phase III
2021/02/23 |,Argentina," Delfina Rossi (director of Banco Ciudad, Argentina): “The Province of Buenos Aires has already finished vaccinating all its health personnel”"
2021/02/23 |,Argentina," Delfina Rossi (director of Banco Ciudad, Argentina): “The Province of Buenos Aires has already finished vaccinating all its health personnel”"
2021/02/21 |,Argentina,An EU publication claims that an Italian doctor died after receiving the second dose of the Pfizer vaccine
2021/02/21 |,Argentina," A video showing “doctors, nurses, policemen and firemen” who celebrate that they are no longer part of “the world order” and the “plandemic”"
2021/02/21 |,Argentina,An image showing that PCR tests come with pre-determined wpositive or negative results.
2021/02/19 |,Argentina,A video showing a can of Red Bull that tested positive for coronavirus
2021/02/11 |,Argentina,An article from the Tierra Pura site that states that “aborted fetuses are being used in vaccines” against COVID-19
2021/02/05 |,Argentina," 99.98% of people “can pass the coronavirus without being vaccinated” and that all those who get sick produce antibodies, as stated by a host of Channel 26 (Argentina)"
2021/01/31 |,Argentina,A publication that claims that the Pfizer vaccine causes sterility in women
2021/01/30 |,Argentina,The statements of doctor Luis Martínez that circulate in a viral chain (part II)
2021/01/29 |,Argentina,Pfizer’s vaccine caused facial paralysis in 13 cases in Israel
2021/01/29 |,Argentina,The statements of doctor Luis Martínez that circulate in a viral chain (part I)
2021/01/29 |,Argentina," A publication that ensures that Ecuadorian doctors discovered the cure for the coronavirus, and that it is a bacterium"
2021/01/26 |,Argentina," An image that shows that the vice president of Argentina, Cristina Fernández de Kirchner, was vaccinated by a fake nurse named Máximo Estévez"
2021/01/26 |,Argentina,A chain that circulates on WhatsApp that indicates that the Province of Buenos Aires (Argentina) is looking for volunteers for the vaccination campaign
2021/01/21 |,Argentina,A video showing that a woman in Quilmes (Argentina) was vaccinated with a needleless syringe
2021/01/21 |,Argentina,The creator of the PCR tests said that they do not detect the new coronavirus
2021/01/14 |,Argentina," A video that shows that Fauci, director of the NIAID, did not receive the vaccine against the coronavirus and was a staging"
2021/01/04 |,Argentina," A post claims that a 24-year-old nurse died in Zapala, Neuquén province (Argentina), after taking the Russian vaccine"
2021/01/04 |,Argentina,A message from a woman on Twitter listing adverse effects of the Sputnik V vaccine
2021/01/03 |,Argentina," An image of the Argentine vice president, Cristina Fernández de Kirchner, together with a health professional who is giving her an injection without complying with the preventive measures against the new coronavirus"
2021/01/03 |,Argentina,Audio-videos and posts that indicate that in Rosario (Argentina) the vaccination campaign against COVID-19 was suspended as a result of the adverse effects generated by the vaccine created by the Gamaleya Institute of Russia
2020/12/29 |,Argentina," A chain that links the Wuhan Virology Laboratory (China) with the pharmaceutical company GlaxoSmithKline; and it also names it as the owner of another competing firm, Pfizer."
2020/12/23 |,Argentina,Six statements by doctor Karina Sarno about the pandemic
2020/12/23 |,Argentina," An article published in a blog by the Centers for Disease Control and Prevention (CDC) indicated that SARS-CoV-2 “has not been isolated” and that, therefore, “its existence is not proven.”"
2020/12/23 |,Argentina,A post claims that the nurse who fainted after getting the COVID-19 vaccine died
2020/12/19 |,Argentina,The Russian vaccine is not suitable for people over 60 years of age
2020/12/04 |,Argentina," Publications that state that a former vice president of the pharmaceutical company Pfizer “assures that the pandemic is over”, and that “there is absolutely no need for vaccines to extinguish the pandemic”"
2020/12/03 |,Argentina,A publication that assures that 42 of the first 100 vaccinated in Argentina died
2020/11/30 |,Argentina,A table that recommends different treatments against COVID-19
2020/11/26 |,Argentina," A text with the photo of a supposed doctor, which indicates that asymptomatic patients are immune and, therefore, cannot infect"
2020/11/26 |,Argentina,A video that claims that PCR tests find “anything” and are not used to detect the new coronavirus
2020/11/24 |,Argentina,The mask grows fungi and bacteria that block oxygen and cause pneumonia
2020/11/16 |,Argentina,A video claims to show “new cremation chambers” sent to Argentina for future deaths caused by the coronavirus vaccine.
2020/11/14 |,Argentina,Magnetic fields and 5G networks activate and spread the coronavirus
2020/11/12 |,Argentina," The some media articles claim that after the application of the vaccine that Russia is developing against the coronavirus, Sputnik V, it will not be possible to drink alcohol for 42 days."
2020/11/09 |,Argentina," The coronavirus is cured with nebulisations, home remedies or paracetamol"
2020/10/30 |,Argentina,Chinese virologist Li-Meng Yan proved that the coronavirus was created in a laboratory
2020/10/29 |,Argentina,Doctor Luis Martínez made several claims that circulated in viral videos.
2020/10/29 |,Argentina," Alberto Fernández (president of Argentina) said: “With Macri we would have had 10,000 deaths from coronavirus”"
2020/10/29 |,Argentina,A video starring a woman who introduces herself as “Dr. Pamela Mas” where she criticizes the project on the “Law on Vaccines Designed to Generate Acquired Immunity against COVID-19”
2020/10/29 |,Argentina,Chinda Brandolino’s claims about the novel coronavirus vaccine
2020/10/28 |,Argentina,Augusto Costa: “Central air conditioning systems are proven elements of virus spread”
2020/10/21 |,Argentina," A publication that says that it is not possible to know what the potential vaccine against COVID-19 contains and that if a patient “becomes quadriplegic, he cannot go to court”, with the image of Dr. Roberto Castellano"
2020/10/21 |,Argentina," A  woman dressed as a nun calls on the faithful to refuse to receive a possible vaccine to prevent COVID-19. According to her, vaccines are “biological weapons” that “manipulate human DNA.”"
2020/10/20 |,Argentina,Infusions and nebulizations of different herbs cure the new coronavirus
2020/10/19 |,Argentina,A post claims that a new law will require obligatory COVID-19 vaccination and will shield laboratories creating the vaccine from legal liability.
2020/10/16 |,Argentina," A video shows ophthalmologist Mariano Arriaga criticizing the vaccine law, in which he claims that this law gives “legal protection to the laboratories that produce the COVID vaccine” and that, in the event of adverse effects, they will be free from lawsuits."
2020/10/15 |,Argentina," “the law on the compulsory vaccination of COVID-19 was approved in Congress . The publications do not detail the country, but include two images of voting in the Argentine Parliament"
2020/10/14 |,Argentina,A publication that maintains that the World Health Organization (WHO) “was wrong” and called “now” to avoid quarantine “as the main method to control the advance of the coronavirus”
2020/10/13 |,Argentina,Canada “woke up” and “stood up” against government restrictions to contain the covid-19 pandemic.
2020/10/12 |,Argentina," According to Gollán, a study published in Nature says that “asymptomatic patients have very little or almost no contagion capacity”"
2020/10/09 |,Argentina,A video of a businessman who assures that hydrogenated alkaline water improves the symptoms of COVID-19
2020/10/09 |,Argentina," Eight claims that the new coronavirus pandemic is actually a “plandemic,” “a scam,” “a farce.”"
2020/10/07 |,Argentina,An article that ensures that the director general of the WHO said that “another pandemic is coming and it will be another tragedy”
2020/10/05 |,Argentina," The Paraguayan government will buy vaccines “produced by the Bill & Melinda Gates Foundation”, whose development was prohibited in the United States by Donald Trump."
2020/10/02 |,Argentina," Argentine politician Ofelia Fernández said that “the real criminals are the anti-quarantine, not the kid who steals a motorcycle to eat”"
2020/09/30 |,Argentina," The Argentine president, Alberto Fernández, has already issued 620 DNUs and achieved what was dictated by 8 presidents in 24 years"
2020/09/29 |,Argentina," An image of the Argentine president, Alberto Fernández, in San Juan “without a chinstrap or social distancing”"
2020/09/29 |,Argentina," Argentine doctor Luis Marcelo Martínez talks about” the dangers of the new vaccine against covid-19″, which, according to Martínez, seeks to “manipulate” the human genome on a massive scale and would cause “irreparable damage"
2020/09/25 |,Argentina,Pope Francis is  “praying for the coronavirus pandemic to cease .”
2020/09/24 |,Argentina," Dutch Minister of Health, Welfare and Sport with a statement about the non-mandatory use of masks in the country."
2020/09/24 |,Argentina," PCR test used to detect infection caused by SARS-CoV-2 actually detects any type of coronavirus, not just the one that causes covid-19."
2020/09/21 |,Argentina,An investigation by a Chinese virologist proves that the coronavirus was created in a laboratory.
2020/09/17 |,Argentina,A new verification to the immunologist Roxana Bruno
2020/09/17 |,Argentina,A chain that recommends how to avoid a relapse of the new coronavirus disease
2020/09/16 |,Argentina," An interview with Conicet’s senior researcher Hugo Luján, with the title: “Argentina already has the oral COVID-19 vaccine and it is not being taken into account”"
2020/09/16 |,Argentina,There’s a kit with drugs such as azithromycin and hydroxychloroquine that the Brazilian government distributes to patients with covid-19.
2020/09/15 |,Argentina,2 plaques circulating on WhatsApp that ensure the definitive elimination of the virus
2020/09/15 |,Argentina," Vaccines made with messenger RNA  will modify the DNA of those who receive it, according to 160 doctors gathered in London."
2020/09/14 |,Argentina," A plaque where a supposed phrase is attributed to the President of the Nation, Alberto Fernández: “With Macri we would have had 10,000 deaths from coronavirus”"
2020/09/14 |,Argentina,A Swedish minister laughs at the confinement measures implemented by the Argentine government to stop the covid-19 pandemic
2020/09/13 |,Argentina," A video of a person who introduces herself as “Lucila Madrid” and defines herself as a “health professional”, in which she expresses a series of statements about vaccines against COVID-19"
2020/09/12 |,Argentina,The headlines in various media outlets claimed that “six people died after receiving the Pfizer vaccine”
2020/09/11 |,Argentina," Pichetto: “20 thousand people die from pneumonia a year, without COVID”"
2020/09/11 |,Argentina," A photo of staff at the Central Hospital of San Cristóbal, in the state of Táchira, Venezuela, paying tribute to the head of the Intensive Care Unit Luis Díaz, who died last September 6 fromcovid-19."
2020/09/08 |,Argentina,The decree establishing the quarantine was planned to last 1 year
2020/09/07 |,Argentina,The anti-quarentine protesters at the Obelisco (CABA Argentina) were actually members of the La Cámpora militia.
2020/09/07 |,Argentina,“German naturopath Annette Lillinger” claims  mRNA (messenger RNA) vaccines will modify “individual genetic material”
2020/09/06 |,Argentina,A viral chain that claims a COVID-19 vaccine will cause “irreversible genetic damage”
2020/09/05 |,Argentina,The publication with an illustration by the Italian artist Walter Molino entitled “Life in 2022” and is linked to a possible pandemic.
2020/09/05 |,Argentina," Doctors for the Argentine Truth protest against the measures implemented during the covid-19 pandemic by the government. Chinda Brandolino and Leonardo González Bayona, members of the group, assure that the virus that causes covid-19 was created by man, that masks do not prevent contagion and that chlorine dioxide can cure the disease."
2020/09/04 |,Argentina,United States admitted that only 6% of reported deaths were “actually” from coronavirus
2020/09/03 |,Argentina," Anthony Fauci, director of the National Institute of Allergies and Infectious Diseases of the United States, took “an unexpected turn” by recently declaring that asymptomatic people do not transmit covid -19."
2020/09/02 |,Argentina," Alberto Fernández The President of Argentina, on the increase in cases: “Every time there were marches, 15 days later the cases of coronavirus grew”"
2020/09/02 |,Argentina," A video where the doctor Chinda Brandolino and the doctor Leonardo González Bayona, from the group “Doctors for the Truth”, say several statements about the coronavirus"
2020/09/01 |,Argentina," A poem about the teachings that a covid-19 crisis could leave on human beings has been shared more than 75,000 times on social media since mid-May with the claim that it was written in the 19th century about an epidemic."
2020/08/31 |,Argentina,The creator of PCR tests said they do not detect the new coronavirus
